Observer,Transect_number,Observer_Transect_number,PointID,Location,BAWA_pre_abs,Elevation,LiveM,LiveY,DiscM,DiscY,Snags,Tree_height_average,Girth_average,Understorey_category,Understorey_height_category,Thatch_palm_height_category,Wind_damage,Fire_disturbance
MG,69,37,37C,EE,1,12,23,0,0,0,0,10,46,3,1,1,0,2
MG,69,37,37D,EE,0,14,18,0,0,0,0,13,49,3,1,1,0,2
DP,70,38,38A,LE,1,9,12,4,0,0,2,16,60,3,1,2,2,2
DP,70,38,38B,LE,1,7,12,2,0,0,2,16,54,3,2,2,0,2
DP,70,38,38C,LE,1,9,3,12,0,0,2,7,22,3,1,2,0,2
DP,70,38,38D,LE,1,9,7,13,0,0,0,11,57,3,1,2,0,2
MG,71,38,38A,LE,1,13,8,1,0,0,3,17,74,3,2,2,1,2
MG,71,38,38B,LE,1,10,9,4.5,3,0.5,2,16,61,3,1,2,1,2
MG,71,38,38C,LE,0,10,18,0,6,0,2,16,58,3,1,2,2,2
MG,71,38,38D,LE,0,11,9,4,6,0,3,17,64,3,1,2,2,2
DP,72,39,39A,LE,1,6,10,1,0,0,2,17,45,2,1,2,0,3
DP,72,39,39B,LE,1,7,7,2,1,0,0,18,84,2,1,1,0,3
DP,72,39,39C,LE,1,6,5,15,0,0,0,17,76,2,1,1,1,3
DP,72,39,39D,LE,1,8,9,2,0,0,1,16,64,2,1,2,0,3
MG,73,39,39A,LE,0,11,11,0,2,1,0,16,61,2,1,2,2,3
MG,73,39,39B,LE,1,5,1,26,0,6,0,10,29,2,1,2,1,3
MG,73,39,39C,LE,1,7,7,5,0,0,2,16,68,2,1,2,2,3
MG,73,39,39D,LE,0,11,17,0,2,0,0,14,55,2,1,2,1,3
DP,74,40,40A,LE,1,10,13,1,0,0,0,15,61,2,1,2,0,3
DP,74,40,40B,LE,0,8,3,9,3,0,3,14,39,2,1,1,1,3
DP,74,40,40C,LE,0,8,6,0,0,0,0,14,56,2,1,2,0,3
DP,74,40,40D,LE,1,3,9,0,1,0,0,12,45,2,1,1,0,3
MG,75,40,40A,LE,0,9,11,1,0,2,0,17,60,2,1,2,0,3
MG,75,40,40B,LE,0,7,20,4,0,9,0,10,43,2,1,2,0,3
MG,75,40,40C,LE,0,5,15,0,0,0,1,15,54,2,1,2,0,3
MG,75,40,40D,LE,1,2,21,0,2,0,1,13,52,2,1,2,1,3
DP,76,41,41A,LE,1,2,10,2,0,0,1,16,60,2,1,2,0,3
DP,76,41,41B,LE,1,5,6,2,0,0,1,14,56,2,1,2,1,3
DP,76,41,41C,LE,1,3,11,3,0,0,1,16,53,2,1,2,1,3
DP,76,41,41D,LE,1,8,6,5,0,1,0,15,48,2,1,1,2,3
MG,77,41,41A,LE,1,10,20,1,1,1,1,13,45,2,1,2,0,3
MG,77,41,41B,LE,1,7,17,12,0,2,2,12,55,2,1,2,1,3
MG,77,41,41C,LE,1,12,16,6,0,27,1,10,43,2,1,2,0,3
MG,77,41,41D,LE,1,11,15,2,0,5,0,15,51,2,1,2,0,3
DP,78,42,42A,LE,0,3,3,0,2,0,3,16,50,2,1,1,2,3
DP,78,42,42B,LE,1,3,5,0,0,0,4,16,50,2,1,1,2,3
DP,78,42,42C,LE,0,7,5,0,1,0,4,13,51,2,1,1,0,3
DP,78,42,42D,LE,0,4,8,0,2,0,3,14,57,2,2,2,2,3
MG,79,42,42A,LE,0,8,4,0,2,0,7,13,46,2,1,1,1,3
MG,79,42,42B,LE,1,4,8,0,1,0,7,13,46,2,1,1,0,3
MG,79,42,42C,LE,0,5,9,0,1,0,5,15,56,2,1,1,0,3
MG,79,42,42D,LE,0,7,13,0,3,0,3,13,58,2,1,2,2,3
DP,80,43,43A,EE,0,6,0,11,0,0,0,5,12,6,2,2,0,0
DP,80,43,43B,EE,1,6,9,0,0,0,1,13,71,5,2,2,0,1
DP,80,43,43C,EE,0,13,5,0,0,0,0,14,64,6,2,2,0,0
DP,80,43,43D,EE,0,8,3,2,0,0,0,9,39,5,2,2,0,1
MG,81,43,43A,EE,1,7,16,3,1,0,3,12,52,3,2,2,2,2
MG,81,43,43B,EE,1,7,9,8,0,0,1,14,63,5,2,2,2,2
MG,81,43,43C,EE,1,9,22,0,0,0,2,13,58,3,2,2,0,2
MG,81,43,43D,EE,0,13,14,0,2,0,1,12,53,3,2,2,1,2
DP,82,44,44A,EE,1,11,8,0,0,0,2,11,65,1,1,1,0,4
DP,82,44,44B,EE,1,10,5,0,0,0,2,16,74,1,1,1,2,4
